,LX.GGNV..HHE,LX.GGNV..HHN,LX.GGNV..HHZ,LX.GGNV..BHZ
422,579.0,1427,423.0,482.0
423,764.0,1378,545.0,708.0
424,852.0,1291,576.0,397.0
425,762.0,1217,245.0,475.0
426,725.0,1222,-347.0,706.0
427,764.0,1232,-717.0,364.0
428,802.0,1260,-674.0,567.0
429,821.0,1245,-352.0,659.0
430,868.0,1129,-111.0,585.0
431,940.0,1061,6.0,654.0
432,949.0,1042,152.0,694.0
433,814.0,1050,171.0,565.0
434,676.0,1126,167.0,643.0
435,865.0,1250,207.0,710.0
436,1316.0,1365,146.0,616.0
437,1583.0,1300,-88.0,600.0
438,1536.0,1128,-316.0,555.0
439,1464.0,1044,-159.0,661.0
440,1351.0,1002,196.0,398.0
441,1196.0,958,386.0,389.0
442,1124.0,928,315.0,646.0
443,1076.0,935,107.0,350.0
444,1147.0,973,15.0,158.0
445,989.0,1096,41.0,429.0
446,642.0,1305,69.0,507.0
447,563.0,1332,-90.0,183.0
448,654.0,1068,-311.0,236.0
449,682.0,724,-256.0,482.0
450,720.0,470,69.0,280.0
451,999.0,338,463.0,280.0
452,1185.0,448,497.0,99.0
453,1011.0,783,-5.0,109.0
454,801.0,1002,-588.0,332.0
455,862.0,998,-608.0,83.0
456,1161.0,992,-37.0,111.0
457,1462.0,1066,499.0,201.0
458,1497.0,1082,610.0,189.0
459,1440.0,1006,372.0,261.0
460,1507.0,932,35.0,160.0
461,1385.0,937,-399.0,160.0
462,1249.0,931,-786.0,122.0
463,1382.0,830,-692.0,-89.0
464,1368.0,819,-131.0,280.0
465,991.0,972,475.0,172.0
466,752.0,1121,750.0,97.0
467,974.0,1158,636.0,179.0
468,1300.0,1197,311.0,-75.0
469,1428.0,1256,-244.0,170.0
470,1291.0,1151,-877.0,-64.0
471,1120.0,906,-966.0,148.0
472,1080.0,680,-455.0,292.0
473,984.0,581,126.0,144.0
474,897.0,653,408.0,228.0
475,973.0,814,433.0,159.0
476,971.0,895,348.0,245.0
477,733.0,862,5.0,-49.0
478,625.0,834,-406.0,435.0
479,666.0,848,-370.0,501.0
480,693.0,871,6.0,107.0
481,839.0,797,271.0,134.0
482,984.0,642,350.0,143.0
483,1108.0,604,465.0,649.0
484,1303.0,589,643.0,453.0
485,1393.0,518,578.0,424.0
486,1394.0,399,199.0,350.0
487,1506.0,305,-174.0,364.0
488,1698.0,358,-277.0,648.0
489,1704.0,477,-79.0,134.0
490,1441.0,620,268.0,440.0
491,1181.0,630,509.0,479.0
492,1151.0,688,572.0,376.0
493,1335.0,961,354.0,558.0
494,1314.0,1189,-143.0,391.0
495,1102.0,1274,-304.0,647.0
496,1198.0,1178,149.0,568.0
497,1213.0,1001,577.0,501.0
498,944.0,870,521.0,602.0
499,887.0,789,226.0,387.0
500,1067.0,823,10.0,241.0
501,1191.0,972,-27.0,421.0
502,1111.0,1039,64.0,353.0
503,1038.0,940,151.0,223.0
504,1105.0,844,295.0,545.0
505,1178.0,818,432.0,470.0
506,1020.0,865,406.0,198.0
507,730.0,867,377.0,290.0
508,670.0,722,458.0,372.0
509,701.0,707,394.0,175.0
510,715.0,785,65.0,166.0
511,826.0,676,-125.0,172.0
512,1034.0,480,35.0,76.0
513,1128.0,371,314.0,551.0
514,1050.0,475,380.0,298.0
515,1071.0,726,222.0,47.0
516,1334.0,894,138.0,481.0
517,1639.0,939,217.0,297.0
518,1637.0,842,333.0,171.0
519,1625.0,489,466.0,180.0
520,1658.0,100,630.0,127.0
